iter	MultiClass
0	1.04291459
1	0.9992231788
2	0.9644761556
3	0.9320094439
4	0.9028060055
5	0.8777305252
6	0.8577484996
7	0.8389553921
8	0.8225940481
9	0.8060525412
10	0.7922205074
11	0.7796451834
12	0.7684810966
13	0.7576110503
14	0.748661867
15	0.7404631605
16	0.7316888841
17	0.7235896657
18	0.7168924617
19	0.7104843001
20	0.7054153252
21	0.6988348487
22	0.6943428852
23	0.6893511194
24	0.6851458601
25	0.680256364
26	0.676076644
27	0.6724499262
28	0.6679316826
29	0.6649200899
30	0.6612333211
31	0.6587020408
32	0.6558777257
33	0.6534012437
34	0.6507149453
35	0.6470751701
36	0.6453044588
37	0.6426671334
38	0.6395042564
39	0.6371554532
40	0.6349739728
41	0.6325168289
42	0.630688759
43	0.6287507415
44	0.6261123388
45	0.6244433086
46	0.6222126845
47	0.6206153505
48	0.6194314067
49	0.6177587806
50	0.6162625188
51	0.6147598144
52	0.6132223157
53	0.6112717403
54	0.6101649792
55	0.6085814717
56	0.6073668272
57	0.6056996776
58	0.6036468266
59	0.6022079967
60	0.6004708652
61	0.5993021065
62	0.5981962006
63	0.5969852498
64	0.5960092044
65	0.5951382217
66	0.5937573049
67	0.5926976199
68	0.5919049343
69	0.5909683245
70	0.5898810281
71	0.5886137107
72	0.5874694569
73	0.5866303948
74	0.5858446642
75	0.5842768875
76	0.5832599086
77	0.5823524511
78	0.5816574895
79	0.5804032638
80	0.5796979443
81	0.5785707085
82	0.577589116
83	0.5764676845
84	0.5758669303
85	0.5749733987
86	0.5739782718
87	0.5732566796
88	0.5723873127
89	0.5715859643
90	0.5706114775
91	0.5698772754
92	0.569048605
93	0.5683046117
94	0.5676794004
95	0.5670802105
96	0.5661618608
97	0.5653307204
98	0.5644151989
99	0.5629831345
100	0.5616278683
101	0.560925615
102	0.5598663063
103	0.5590532502
104	0.5581822914
105	0.5573717842
106	0.5567230507
107	0.5558445602
108	0.5549460892
109	0.5537738461
110	0.5532571333
111	0.5523052966
112	0.5515637608
113	0.5506989932
114	0.5497893645
115	0.5490491528
116	0.5482819087
117	0.5472650229
118	0.5465160027
119	0.5458629121
120	0.5450556847
121	0.5442621477
122	0.5436990769
123	0.5426523891
124	0.5419409862
125	0.5408869838
126	0.5398976938
127	0.5390390849
128	0.5384174908
129	0.5376349026
130	0.5366899555
131	0.5358262605
132	0.5349921398
133	0.5343393484
134	0.5335162721
135	0.5327993951
136	0.5322329991
137	0.5311455794
138	0.5306621603
139	0.5298187362
140	0.5293278399
141	0.5286690776
142	0.5277817915
143	0.527360687
144	0.526723481
145	0.5259562966
146	0.525384318
147	0.5248208834
148	0.5238556429
149	0.523311962
150	0.5224890357
151	0.5217479034
152	0.5208183664
153	0.5199787045
154	0.5191080996
155	0.5184309034
156	0.5181518444
157	0.5173843568
158	0.5164637306
159	0.5157863312
160	0.51508601
161	0.5144574796
162	0.5139709418
163	0.5133837683
164	0.5129807679
165	0.51224378
166	0.5116555742
167	0.5108910573
168	0.5101492252
169	0.5096353696
170	0.5091079187
171	0.508477772
172	0.5079595741
173	0.5074749
174	0.5068046208
175	0.5062562423
176	0.5054257609
177	0.5047687925
178	0.5042015257
179	0.5034513174
180	0.5030706554
181	0.5022904275
182	0.5016950401
183	0.5010781273
184	0.5004305364
185	0.4998334965
186	0.4994717739
187	0.4991193902
188	0.4987086857
189	0.498017288
190	0.4974028778
191	0.4968577082
192	0.4964824814
193	0.4958288382
194	0.4952605696
195	0.494623969
196	0.4941849974
197	0.4936794543
198	0.493086899
199	0.4922304029
200	0.4918059064
201	0.4914174792
202	0.4909509133
203	0.4905849064
204	0.4900939273
205	0.4895132525
206	0.4890363382
207	0.4884955747
208	0.4879161359
209	0.4870326203
210	0.4864721188
211	0.4860520912
212	0.4854947583
213	0.4850015615
214	0.4844344443
215	0.4839540492
216	0.4835839331
217	0.483147132
218	0.4824224327
219	0.4821362084
220	0.4815026242
221	0.4809001558
222	0.4806047014
223	0.480000525
224	0.4794506756
225	0.4788822959
226	0.4784845779
227	0.4780982202
228	0.4776409198
229	0.4770343816
230	0.4767146104
231	0.4764679326
232	0.4761020971
233	0.4757663813
234	0.4753637364
235	0.4748313887
236	0.4744240247
237	0.4739996694
238	0.4735978491
239	0.4731632312
240	0.4726636776
241	0.4721715861
242	0.4714545827
243	0.4710466349
244	0.470707745
245	0.4702090679
246	0.4697569698
247	0.4692633227
248	0.4688476924
249	0.4684941766
250	0.4679948219
251	0.4677085697
252	0.4672845333
253	0.4669140811
254	0.4663741468
255	0.466048894
256	0.4656933645
257	0.4652028024
258	0.4647838165
259	0.4641214497
260	0.4634978725
261	0.4629599855
262	0.4627244647
263	0.4622389647
264	0.4616813002
265	0.4611197659
266	0.4606037776
267	0.4599932228
268	0.4596525303
269	0.4591010212
270	0.4587939513
271	0.4584212348
272	0.457859109
273	0.4573506817
274	0.457143238
275	0.4566163864
276	0.456095732
277	0.4556267566
278	0.4551356032
279	0.4547149146
280	0.454232561
281	0.4537046149
282	0.4533663822
283	0.4529768627
284	0.4524424122
285	0.4519071563
286	0.4516592617
287	0.4514420556
288	0.450949725
289	0.45017829
290	0.4498492872
291	0.4493463792
292	0.4489639613
293	0.4485984766
294	0.4483178024
295	0.4477186041
296	0.4473537294
297	0.4470199701
298	0.4467188271
299	0.4463103696
300	0.4458797256
301	0.4456008032
302	0.4451704334
303	0.4443719299
304	0.4439565288
305	0.4436193693
306	0.4430837017
307	0.4428890283
308	0.4425300356
309	0.4421196784
310	0.4417914173
311	0.4414550684
312	0.4411590994
313	0.4408232477
314	0.440423727
315	0.4401056145
316	0.4396997491
317	0.4392906627
318	0.4386824564
319	0.4383991916
320	0.4379139069
321	0.4376348755
322	0.4372111511
323	0.4369234551
324	0.4364917945
325	0.4360338868
326	0.4355578241
327	0.4352592615
328	0.4350517869
329	0.4346306046
330	0.4343666655
331	0.434118796
332	0.4337618697
333	0.4333260347
334	0.4327762077
335	0.4322612666
336	0.4318427769
337	0.4315587886
338	0.4312379194
339	0.4308989483
340	0.4305153592
341	0.4301162042
342	0.4298492092
343	0.4295473676
344	0.4291704868
345	0.4288618244
346	0.4284841005
347	0.4281979402
348	0.4279416177
349	0.4274857941
350	0.4270932141
351	0.4268065965
352	0.4265196675
353	0.4263288501
354	0.4258651353
355	0.4256381743
356	0.4250686297
357	0.4247355307
358	0.4245590524
359	0.4243134474
360	0.4238486085
361	0.4234371509
362	0.4230995229
363	0.4228096128
364	0.4225289338
365	0.42223752
366	0.4218621367
367	0.421536726
368	0.4212328265
369	0.4209705602
370	0.4206683344
371	0.4205045061
372	0.4200099344
373	0.4197886407
374	0.4194268805
375	0.4191804
376	0.4189313558
377	0.4184573023
378	0.4181231131
379	0.4174343385
380	0.4170064336
381	0.4167653591
382	0.4163488105
383	0.4160994305
384	0.415572241
385	0.4153466255
386	0.4149118963
387	0.414612256
388	0.4143606389
389	0.4139732918
390	0.4137828466
391	0.4133481354
392	0.4129456134
393	0.4127212776
394	0.4124850898
395	0.4119449208
396	0.4116178569
397	0.4113601874
398	0.4109575228
399	0.4105861537
400	0.4103570264
401	0.4099273916
402	0.4096814708
403	0.4093409572
404	0.408751379
405	0.4084895514
406	0.4079765385
407	0.4078739361
408	0.4075797831
409	0.4074061123
410	0.4069217736
411	0.4063631897
412	0.4059529375
413	0.4058278716
414	0.4055335192
415	0.4052170189
416	0.4048859581
417	0.4046150488
418	0.4043296148
419	0.403844312
420	0.4033654841
421	0.4029185218
422	0.4025377059
423	0.4022813275
