Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Season,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Winner
2020-10-01,Zenit,Efes,73.0,69.0,2020-21,,,,,,,,,,,,,Home
2020-10-01,CSKA Moscow,Barcelona,66.0,76.0,2020-21,,,,,,,,,,,,,Away
2020-10-01,ALBA Berlin,Maccabi Tel Aviv,73.0,80.0,2020-21,,,,,,,,,,,,,Away
2020-10-01,Zalgiris,Olympiacos,68.0,67.0,2020-21,,,,,,,,,,,,,Home
2020-10-01,ASVEL,Valencia,63.0,65.0,2020-21,,,,,,,,,,,,,Away
2020-10-02,Olimpia Milano,Bayern Munich,81.0,79.0,2020-21,,,,,,,,,,,,,Home
2020-10-02,Panathinaikos,Khimki,78.0,76.0,2020-21,,,,,,,,,,,,,Home
2020-10-02,Red Star Belgrade,Fenerbahce,63.0,77.0,2020-21,,,,,,,,,,,,,Away
2020-10-02,Real Madrid,Baskonia,63.0,76.0,2020-21,,,,,,,,,,,,,Away
2020-10-08,Fenerbahce,Efes,80.0,71.0,2020-21,,,,,,,,,,,,,Home
2020-10-08,Maccabi Tel Aviv,CSKA Moscow,72.0,76.0,2020-21,,,,,,,,,,,,,Away
2020-10-08,Valencia,Real Madrid,93.0,77.0,2020-21,,,,,,,,,,,,,Home
2020-10-09,Barcelona,Zenit,70.0,74.0,2020-21,,,,,,,,,,,,,Away
2020-10-09,Baskonia,Red Star Belgrade,73.0,90.0,2020-21,,,,,,,,,,,,,Away
2020-10-09,Olympiacos,Panathinaikos,78.0,71.0,2020-21,,,,,,,,,,,,,Home
2020-10-09,ASVEL,Olimpia Milano,73.0,87.0,2020-21,,,,,,,,,,,,,Away
2020-10-09,Bayern Munich,ALBA Berlin,90.0,72.0,2020-21,,,,,,,,,,,,,Home
2020-10-10,Zalgiris,Khimki,84.0,70.0,2020-21,,,,,,,,,,,,,Home
2020-10-13,Efes,ALBA Berlin,93.0,72.0,2020-21,,,,,,,,,,,,,Home
2020-10-13,Zalgiris,Red Star Belgrade,75.0,69.0,2020-21,,,,,,,,,,,,,Home
2020-10-13,Barcelona,Valencia,71.0,66.0,2020-21,,,,,,,,,,,,,Home
2020-10-14,Bayern Munich,Maccabi Tel Aviv,85.0,82.0,2020-21,,,,,,,,,,,,,Home
2020-10-14,Olimpia Milano,Olympiacos,75.0,86.0,2020-21,,,,,,,,,,,,,Away
2020-10-14,Khimki,Real Madrid,85.0,94.0,2020-21,,,,,,,,,,,,,Away
2020-10-14,CSKA Moscow,Fenerbahce,78.0,77.0,2020-21,,,,,,,,,,,,,Home
2020-10-15,Panathinaikos,Barcelona,89.0,97.0,2020-21,,,,,,,,,,,,,Away
2020-10-15,Efes,Zalgiris,73.0,89.0,2020-21,,,,,,,,,,,,,Away
2020-10-16,Khimki,Baskonia,60.0,77.0,2020-21,,,,,,,,,,,,,Away
2020-10-16,Maccabi Tel Aviv,Olympiacos,82.0,85.0,2020-21,,,,,,,,,,,,,Away
2020-10-16,Bayern Munich,Fenerbahce,75.0,71.0,2020-21,,,,,,,,,,,,,Home
2020-10-16,ALBA Berlin,CSKA Moscow,93.0,88.0,2020-21,,,,,,,,,,,,,Home
2020-10-16,Real Madrid,Olimpia Milano,70.0,78.0,2020-21,,,,,,,,,,,,,Away
2020-10-22,Fenerbahce,Panathinaikos,68.0,82.0,2020-21,,,,,,,,,,,,,Away
2020-10-22,CSKA Moscow,Red Star Belgrade,84.0,86.0,2020-21,,,,,,,,,,,,,Away
2020-10-22,Valencia,Zalgiris,94.0,82.0,2020-21,,,,,,,,,,,,,Home
2020-10-23,Real Madrid,Barcelona,72.0,79.0,2020-21,,,,,,,,,,,,,Away
2020-10-23,Olympiacos,Bayern Munich,68.0,74.0,2020-21,,,,,,,,,,,,,Away
2020-10-23,Maccabi Tel Aviv,Khimki,89.0,87.0,2020-21,,,,,,,,,,,,,Home
2020-10-29,Valencia,CSKA Moscow,75.0,84.0,2020-21,,,,,,,,,,,,,Away
