Date,Tournament,Surface,Round,WinnerName,LoserName,Player1,Player2,Winner,Player1Rank,Player2Rank,Score,Tour,Year
2020-01-06,Atp Cup,Hard,F,Novak Djokovic,Rafael Nadal,Rafael Nadal,Novak Djokovic,Player2,1.0,2.0,6-2 7-6(4),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Casper Ruud,Fabio Fognini,Casper Ruud,Fabio Fognini,Player1,53.0,12.0,6-2 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Diego Schwartzman,Borna Coric,Diego Schwartzman,Borna Coric,Player1,13.0,28.0,6-2 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Hubert Hurkacz,Dominic Thiem,Hubert Hurkacz,Dominic Thiem,Player1,37.0,4.0,3-6 6-4 7-6(5),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Dennis Novak,Guido Pella,Guido Pella,Dennis Novak,Player2,25.0,105.0,0-6 6-4 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Dominic Thiem,Diego Schwartzman,Diego Schwartzman,Dominic Thiem,Player2,13.0,4.0,6-3 7-6(3),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Marin Cilic,Dennis Novak,Dennis Novak,Marin Cilic,Player2,105.0,38.0,6-7(4) 6-4 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Borna Coric,Dominic Thiem,Dominic Thiem,Borna Coric,Player2,4.0,28.0,7-6(4) 2-6 6-3,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Taylor Fritz,Viktor Durasovic,Viktor Durasovic,Taylor Fritz,Player2,329.0,31.0,6-2 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Casper Ruud,John Isner,John Isner,Casper Ruud,Player2,19.0,53.0,6-7(3) 7-6(10) 7-5,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Kacper Zuk,Dennis Novak,Kacper Zuk,Dennis Novak,Player1,448.0,105.0,5-7 7-6(3) 6-3,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Denis Shapovalov,Alexander Zverev,Alexander Zverev,Denis Shapovalov,Player2,7.0,14.0,6-2 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Steve Darcis,Cameron Norrie,Cameron Norrie,Steve Darcis,Player2,52.0,200.0,6-2 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Aleksandre Metreveli,Franco Roncadelli,Franco Roncadelli,Aleksandre Metreveli,Player2,,678.0,6-2 6-1,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Novak Djokovic,Kevin Anderson,Novak Djokovic,Kevin Anderson,Player1,2.0,147.0,7-6(5) 7-6(6),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Benoit Paire,Dusan Lajovic,Dusan Lajovic,Benoit Paire,Player2,34.0,24.0,6-2 6-7(6) 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Novak Djokovic,Gael Monfils,Gael Monfils,Novak Djokovic,Player2,9.0,2.0,6-3 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,QF,Roberto Bautista Agut,Kimmer Coppejans,Roberto Bautista Agut,Kimmer Coppejans,Player1,10.0,158.0,6-1 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,QF,David Goffin,Rafael Nadal,David Goffin,Rafael Nadal,Player1,11.0,1.0,6-4 7-6(3),ATP,2020
2020-01-06,Atp Cup,Hard,QF,Nick Kyrgios,Cameron Norrie,Cameron Norrie,Nick Kyrgios,Player2,52.0,29.0,6-2 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,QF,Daniel Evans,Alex De Minaur,Daniel Evans,Alex De Minaur,Player1,42.0,18.0,7-6(4) 4-6 7-6(2),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Dusan Lajovic,Lloyd Harris,Lloyd Harris,Dusan Lajovic,Player2,99.0,34.0,3-6 7-6(4) 6-3,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Hubert Hurkacz,Borna Coric,Hubert Hurkacz,Borna Coric,Player1,37.0,28.0,6-2 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Marin Cilic,Kacper Zuk,Kacper Zuk,Marin Cilic,Player2,448.0,38.0,7-6(8) 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Hubert Hurkacz,Diego Schwartzman,Diego Schwartzman,Hubert Hurkacz,Player2,13.0,37.0,4-6 6-2 6-3,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Guido Pella,Kamil Majchrzak,Guido Pella,Kamil Majchrzak,Player1,25.0,97.0,6-2 2-6 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Fabio Fognini,John Isner,Fabio Fognini,John Isner,Player1,12.0,19.0,6-4 7-6(5),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Karen Khachanov,Viktor Durasovic,Viktor Durasovic,Karen Khachanov,Player2,329.0,17.0,6-2 6-1,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Daniil Medvedev,Casper Ruud,Casper Ruud,Daniil Medvedev,Player2,53.0,5.0,6-3 7-6(6),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Karen Khachanov,Taylor Fritz,Taylor Fritz,Karen Khachanov,Player2,31.0,17.0,3-6 7-5 6-1,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Daniil Medvedev,John Isner,Daniil Medvedev,John Isner,Player1,5.0,19.0,6-3 6-1,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Karen Khachanov,Stefano Travaglia,Karen Khachanov,Stefano Travaglia,Player1,17.0,82.0,7-5 6-3,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Daniil Medvedev,Fabio Fognini,Daniil Medvedev,Fabio Fognini,Player1,5.0,12.0,1-6 6-1 6-3,ATP,2020
2020-01-06,Doha,Hard,R32,Jeremy Chardy,Gregoire Barrere,Gregoire Barrere,Jeremy Chardy,Player2,83.0,54.0,6-3 3-6 6-3,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Dimitar Kuzmanov,Alexander Cozbinov,Dimitar Kuzmanov,Alexander Cozbinov,Player1,417.0,816.0,6-1 7-5,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Cameron Norrie,Alexander Cozbinov,Cameron Norrie,Alexander Cozbinov,Player1,52.0,816.0,6-2 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,QF,Karen Khachanov,Guido Pella,Karen Khachanov,Guido Pella,Player1,17.0,25.0,6-2 7-6(4),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Daniel Evans,Radu Albot,Daniel Evans,Radu Albot,Player1,42.0,46.0,6-2 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Grigor Dimitrov,Daniel Evans,Grigor Dimitrov,Daniel Evans,Player1,20.0,42.0,2-6 6-4 6-1,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Steve Darcis,Alexander Cozbinov,Steve Darcis,Alexander Cozbinov,Player1,200.0,816.0,6-4 6-7(4) 7-5,ATP,2020
2020-01-06,Atp Cup,Hard,RR,David Goffin,Radu Albot,David Goffin,Radu Albot,Player1,11.0,46.0,6-4 6-1,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Dimitar Kuzmanov,Steve Darcis,Dimitar Kuzmanov,Steve Darcis,Player1,417.0,200.0,6-0 6-3,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Grigor Dimitrov,Radu Albot,Radu Albot,Grigor Dimitrov,Player2,46.0,20.0,6-2 6-3,ATP,2020
2020-01-06,Atp Cup,Hard,RR,David Goffin,Grigor Dimitrov,Grigor Dimitrov,David Goffin,Player2,20.0,11.0,4-6 6-2 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Stefano Travaglia,Taylor Fritz,Taylor Fritz,Stefano Travaglia,Player2,31.0,82.0,7-6(3) 7-6(1),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Stefano Travaglia,Viktor Durasovic,Stefano Travaglia,Viktor Durasovic,Player1,82.0,329.0,6-1 6-1,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Jan Lennard Struff,Michail Pervolarakis,Jan Lennard Struff,Michail Pervolarakis,Player1,35.0,486.0,6-4 6-1,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Stefanos Tsitsipas,Alexander Zverev,Alexander Zverev,Stefanos Tsitsipas,Player2,7.0,6.0,6-1 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Cameron Norrie,Dimitar Kuzmanov,Cameron Norrie,Dimitar Kuzmanov,Player1,52.0,417.0,6-2 3-6 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,QF,Dusan Lajovic,Felix Auger Aliassime,Dusan Lajovic,Felix Auger Aliassime,Player1,34.0,21.0,6-4 6-2,ATP,2020
2020-01-06,Doha,Hard,QF,Corentin Moutet,Fernando Verdasco,Corentin Moutet,Fernando Verdasco,Player1,81.0,49.0,6-4 4-6 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,QF,Novak Djokovic,Denis Shapovalov,Denis Shapovalov,Novak Djokovic,Player2,14.0,2.0,4-6 6-1 7-6(4),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Alex De Minaur,Alexander Zverev,Alex De Minaur,Alexander Zverev,Player1,18.0,7.0,4-6 7-6(3) 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Nick Kyrgios,Jan Lennard Struff,Nick Kyrgios,Jan Lennard Struff,Player1,29.0,35.0,6-4 7-6(4),ATP,2020
2020-01-06,Atp Cup,Hard,F,Roberto Bautista Agut,Dusan Lajovic,Roberto Bautista Agut,Dusan Lajovic,Player1,10.0,34.0,7-5 6-1,ATP,2020
2020-01-06,Doha,Hard,QF,Miomir Kecmanovic,Marton Fucsovics,Marton Fucsovics,Miomir Kecmanovic,Player2,70.0,62.0,6-2 6-0,ATP,2020
2020-01-06,Doha,Hard,QF,Andrey Rublev,Pierre Hugues Herbert,Pierre Hugues Herbert,Andrey Rublev,Player2,65.0,23.0,6-4 6-3,ATP,2020
2020-01-06,Doha,Hard,R16,Stan Wawrinka,Jeremy Chardy,Stan Wawrinka,Jeremy Chardy,Player1,15.0,54.0,6-3 6-4,ATP,2020
2020-01-06,Doha,Hard,R16,Aljaz Bedene,Alexander Bublik,Aljaz Bedene,Alexander Bublik,Player1,58.0,55.0,6-3 7-5,ATP,2020
2020-01-06,Doha,Hard,R16,Fernando Verdasco,Filip Krajinovic,Filip Krajinovic,Fernando Verdasco,Player2,40.0,49.0,7-5 4-6 6-0,ATP,2020
2020-01-06,Doha,Hard,R16,Marton Fucsovics,Cem Ilkel,Cem Ilkel,Marton Fucsovics,Player2,279.0,70.0,6-1 6-4,ATP,2020
2020-01-06,Doha,Hard,R16,Miomir Kecmanovic,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Miomir Kecmanovic,Player2,30.0,62.0,7-6(9) 6-1,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Jan Lennard Struff,Felix Auger Aliassime,Jan Lennard Struff,Felix Auger Aliassime,Player1,35.0,21.0,6-1 6-4,ATP,2020
2020-01-06,Doha,Hard,R16,Pierre Hugues Herbert,Laslo Djere,Laslo Djere,Pierre Hugues Herbert,Player2,39.0,65.0,6-1 6-3,ATP,2020
2020-01-06,Doha,Hard,SF,Andrey Rublev,Miomir Kecmanovic,Andrey Rublev,Miomir Kecmanovic,Player1,23.0,62.0,6-3 6-1,ATP,2020
2020-01-06,Doha,Hard,SF,Corentin Moutet,Stan Wawrinka,Stan Wawrinka,Corentin Moutet,Player2,15.0,81.0,3-6 7-5 6-3,ATP,2020
2020-01-06,Doha,Hard,F,Andrey Rublev,Corentin Moutet,Corentin Moutet,Andrey Rublev,Player2,81.0,23.0,6-2 7-6(3),ATP,2020
2020-01-06,Atp Cup,Hard,RR,John Millman,Felix Auger Aliassime,John Millman,Felix Auger Aliassime,Player1,48.0,21.0,6-4 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Alex De Minaur,Denis Shapovalov,Alex De Minaur,Denis Shapovalov,Player1,18.0,14.0,6-7(6) 6-4 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,John Millman,Michail Pervolarakis,Michail Pervolarakis,John Millman,Player2,486.0,48.0,4-6 6-1 7-6(1),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Nick Kyrgios,Stefanos Tsitsipas,Stefanos Tsitsipas,Nick Kyrgios,Player2,6.0,29.0,7-6(7) 6-7(3) 7-6(5),ATP,2020
2020-01-06,Atp Cup,Hard,RR,Felix Auger Aliassime,Michail Pervolarakis,Felix Auger Aliassime,Michail Pervolarakis,Player1,21.0,486.0,6-1 6-3,ATP,2020
2020-01-06,Doha,Hard,QF,Stan Wawrinka,Aljaz Bedene,Stan Wawrinka,Aljaz Bedene,Player1,15.0,58.0,6-3 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Denis Shapovalov,Stefanos Tsitsipas,Stefanos Tsitsipas,Denis Shapovalov,Player2,6.0,14.0,7-6(6) 7-6(4),ATP,2020
2020-01-06,Doha,Hard,R16,Corentin Moutet,Milos Raonic,Corentin Moutet,Milos Raonic,Player1,81.0,32.0,7-6(4) 7-6(4),ATP,2020
2020-01-06,Doha,Hard,R16,Andrey Rublev,Mikhail Kukushkin,Andrey Rublev,Mikhail Kukushkin,Player1,23.0,66.0,6-4 6-2,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Rafael Nadal,Nikoloz Basilashvili,Nikoloz Basilashvili,Rafael Nadal,Player2,26.0,1.0,6-3 7-5,ATP,2020
2020-01-06,Atp Cup,Hard,RR,Gael Monfils,Cristian Garin,Gael Monfils,Cristian Garin,Player1,9.0,33.0,6-3 7-5,ATP,2020
2020-01-06,Atp Cup,Hard,SF,Roberto Bautista Agut,Nick Kyrgios,Nick Kyrgios,Roberto Bautista Agut,Player2,29.0,10.0,6-1 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,SF,Rafael Nadal,Alex De Minaur,Alex De Minaur,Rafael Nadal,Player2,18.0,1.0,4-6 7-5 6-1,ATP,2020
2020-01-06,Atp Cup,Hard,SF,Dusan Lajovic,Karen Khachanov,Dusan Lajovic,Karen Khachanov,Player1,34.0,17.0,7-5 7-6(1),ATP,2020
2020-01-06,Atp Cup,Hard,SF,Novak Djokovic,Daniil Medvedev,Novak Djokovic,Daniil Medvedev,Player1,2.0,5.0,6-1 5-7 6-4,ATP,2020
2020-01-06,Atp Cup,Hard,QF,Daniil Medvedev,Diego Schwartzman,Daniil Medvedev,Diego Schwartzman,Player1,5.0,13.0,6-4 4-6 6-3,ATP,2020
